ATHLETE NAME,TEAM,SPORT,EVENT,MEDAL,CONTINENT,EVENT TYPE
Kevin Wallace,Scotland,Lawn Bowls and Para Lawn Bowls,Para Men's Pairs B6-B8,G,Europe,Mixed
Laura Muir,Scotland,Athletics and Para Athletics,Women's 1500m,G,Europe,Single
Laura Muir,Scotland,Athletics and Para Athletics,Women's 800m,B,Europe,Single
Louise Christie,Scotland,Gymnastics - Rhythmic,Ribbon,S,Europe,Single
Malin Wilson,Scotland,Judo,Women -57 kg,B,Europe,Single
Mark Szaranek,Scotland,Aquatics - Swimming and Para Swimming,Men's 4 x 200m Freestyle Relay,B,Europe,Mixed
Martyn Walton,Scotland,Aquatics - Swimming and Para Swimming,Men's 4 x 100m Medley Relay,B,Europe,Mixed
Matthew McHale,Scotland,Boxing,Men’s Over 51kg-54kg (Bantamweight),B,Europe,Single
Melanie Inness,Scotland,Lawn Bowls and Para Lawn Bowls,Para Mixed Pairs B2/B3,G,Europe,Mixed
Micky Yule,Scotland,Para Powerlifting,Men's Heavyweight,B,Europe,Single
Neah Evans,Scotland,Cycling - Track and Para Track,Women's 25km Points Race,S,Europe,Single
Neah Evans,Scotland,Cycling - Track and Para Track,Women's 3000m Individual Pursuit,B,Europe,Single
Neah Evans,Scotland,Cycling - Road,Women's Road Race,S,Europe,Single
Neil Fachie,Scotland,Cycling - Track and Para Track,Men's Tandem B - 1000m Time Trial,G,Europe,Mixed
Neil Fachie,Scotland,Cycling - Track and Para Track,Men's Tandem B - Sprint,S,Europe,Mixed
Nicole Yeargin,Scotland,Athletics and Para Athletics,Women's 4 x 400m Relay,B,Europe,Mixed
Paul Foster,Scotland,Lawn Bowls and Para Lawn Bowls,Men's Pairs,B,Europe,Mixed
Pauline Wilson,Scotland,Lawn Bowls and Para Lawn Bowls,Para Women's Pairs B6-B8,G,Europe,Mixed
Rachel Tytler,Scotland,Judo,Women -78 kg,B,Europe,Single
Reese Lynch,Scotland,Boxing,Men’s Over 60kg-63.5kg (Light Welterweight),G,Europe,Single
Robert Barr,Scotland,Lawn Bowls and Para Lawn Bowls,Para Mixed Pairs B2/B3,G,Europe,Mixed
Rory Stewart,Scotland,Squash,Men's Doubles,B,Europe,Mixed
Rosemary Lenton,Scotland,Lawn Bowls and Para Lawn Bowls,Para Women's Pairs B6-B8,G,Europe,Mixed
Ross Murdoch,Scotland,Aquatics - Swimming and Para Swimming,Men's 4 x 100m Medley Relay,B,Europe,Mixed
Ross Murdoch,Scotland,Aquatics - Swimming and Para Swimming,Men's 200m Breaststroke,B,Europe,Single
Ross Murdoch,Scotland,Aquatics - Swimming and Para Swimming,Men's 50m Breaststroke,B,Europe,Single
Sam Hickey,Scotland,Boxing,Men’s Over 71kg-75kg (Middleweight),G,Europe,Single
Samantha Kinghorn,Scotland,Athletics and Para Athletics,Women's T53/54 1500m,B,Europe,Single
Sarah Adlington,Scotland,Judo,Women +78 kg,G,Europe,Single
Sarah Jane Ewing,Scotland,Lawn Bowls and Para Lawn Bowls,Para Mixed Pairs B2/B3,G,Europe,Mixed
Sean Frame,Scotland,Athletics and Para Athletics,Men's T53/54 Marathon,S,Europe,Single
Sean Lazzerini,Scotland,Boxing,Men’s Over 75kg-80kg (Light Heavyweight),G,Europe,Single
Shannon Archer,Scotland,Gymnastics - Artistic,Women's Vault,B,Europe,Single
Stephen Clegg,Scotland,Aquatics - Swimming and Para Swimming,Men's 50m Freestyle S13,S,Europe,Single
Stephen Milne,Scotland,Aquatics - Swimming and Para Swimming,Men's 4 x 100m Medley Relay,B,Europe,Mixed
Stephen Milne,Scotland,Aquatics - Swimming and Para Swimming,Men's 4 x 200m Freestyle Relay,B,Europe,Mixed
Toni Shaw,Scotland,Aquatics - Swimming and Para Swimming,Women's 100m Freestyle S9,B,Europe,Single
Tyler Jolly,Scotland,Boxing,Men’s Over 63.5kg-67kg (Welterweight),B,Europe,Single
Zoey Clark,Scotland,Athletics and Para Athletics,Women's 4 x 400m Relay,B,Europe,Mixed
Andy Jun Liang Kwek,Singapore,Badminton,Mixed Team Event,B,Asia,Mixed
Jessica Wei Han Tan,Singapore,Badminton,Mixed Doubles,G,Asia,Mixed
Jessica Wei Han Tan,Singapore,Badminton,Mixed Team Event,B,Asia,Mixed
Jia Heng Teh,Singapore,Badminton,Mixed Team Event,B,Asia,Mixed
Jia Min Yeo,Singapore,Badminton,Mixed Team Event,B,Asia,Mixed
Jia Min Yeo,Singapore,Badminton,Women's Singles,B,Asia,Single
Jia Ying Crystal Wong,Singapore,Badminton,Mixed Team Event,B,Asia,Mixed
Jian Zeng,Singapore,Table Tennis and Para Table Tennis,Mixed Doubles,B,Asia,Mixed
Jian Zeng,Singapore,Table Tennis and Para Table Tennis,Women's Doubles,G,Asia,Mixed
Jian Zeng,Singapore,Table Tennis and Para Table Tennis,Women's Team,G,Asia,Mixed
Jian Zeng,Singapore,Table Tennis and Para Table Tennis,Women's Singles,S,Asia,Single
Jingyi Zhou,Singapore,Table Tennis and Para Table Tennis,Women's Team,G,Asia,Mixed
Kean Hean Loh,Singapore,Badminton,Mixed Team Event,B,Asia,Mixed
Kean Yew Loh,Singapore,Badminton,Mixed Team Event,B,Asia,Mixed
Khan Insyirah,Singapore,Badminton,Mixed Team Event,B,Asia,Mixed
Shao Feng Ethan Poh,Singapore,Table Tennis and Para Table Tennis,Men's Doubles,B,Asia,Mixed
Shao Feng Ethan Poh,Singapore,Table Tennis and Para Table Tennis,Men's Team,S,Asia,Mixed
Tianwei Feng,Singapore,Table Tennis and Para Table Tennis,Women's Doubles,G,Asia,Mixed
Tianwei Feng,Singapore,Table Tennis and Para Table Tennis,Women's Team,G,Asia,Mixed
Tianwei Feng,Singapore,Table Tennis and Para Table Tennis,Women's Singles,G,Asia,Single
Tzen Wei Teong,Singapore,Aquatics - Swimming and Para Swimming,Men's 50m Butterfly,S,Asia,Single
Wei Soong Toh,Singapore,Aquatics - Swimming and Para Swimming,Men's 50m Freestyle S7,S,Asia,Single
Xin Ru Wong,Singapore,Table Tennis and Para Table Tennis,Women's Team,G,Asia,Mixed
Yew En Koen Pang,Singapore,Table Tennis and Para Table Tennis,Men's Team,S,Asia,Mixed
Yong Izaac Quek,Singapore,Table Tennis and Para Table Tennis,Men's Team,S,Asia,Mixed
Yong Kai Terry Hee,Singapore,Badminton,Mixed Doubles,G,Asia,Mixed
Yong Kai Terry Hee,Singapore,Badminton,Mixed Team Event,B,Asia,Mixed
Yujia Jin,Singapore,Badminton,Mixed Team Event,B,Asia,Mixed
Zhe Yu Clarence Chew,Singapore,Table Tennis and Para Table Tennis,Men's Doubles,B,Asia,Mixed
Zhe Yu Clarence Chew,Singapore,Table Tennis and Para Table Tennis,Men's Team,S,Asia,Mixed
Zhe Yu Clarence Chew,Singapore,Table Tennis and Para Table Tennis,Mixed Doubles,B,Asia,Mixed
Akani Simbine,South Africa,Athletics and Para Athletics,Men's 100m,S,Africa,Single
Angelo Davids,South Africa,Rugby Sevens,Men,G,Africa,Mixed
Bridget Calitz,South Africa,Lawn Bowls and Para Lawn Bowls,Women's Fours,S,Africa,Mixed
Caitlin Rooskrantz,South Africa,Gymnastics - Artistic,Women's Uneven Bars,B,Africa,Single
Candice Lill,South Africa,Cycling - Mountain Bike,Women's Cross-country,B,Africa,Single
Chad le Clos,South Africa,Aquatics - Swimming and Para Swimming,Men's 200m Butterfly,S,Africa,Single
Charl du Toit,South Africa,Athletics and Para Athletics,Men's T37/38 100m,S,Africa,Single
Charne Griesel,South Africa,Judo,Women -52 kg,B,Africa,Single
Christian Sadie,South Africa,Aquatics - Swimming and Para Swimming,Men's 50m Freestyle S7,B,Africa,Single
Christie Grobbelaar,South Africa,Rugby Sevens,Men,G,Africa,Mixed
Daryl Impey,South Africa,Cycling - Road,Men's Road Race,S,Africa,Single
Desiree Levin,South Africa,Lawn Bowls and Para Lawn Bowls,Para Women's Pairs B6-B8,B,Africa,Mixed
Dewald Human,South Africa,Rugby Sevens,Men,G,Africa,Mixed
Erin Gallagher,South Africa,Aquatics - Swimming and Para Swimming,Women's 50m Butterfly,S,Africa,Single
Esme Kruger,South Africa,Lawn Bowls and Para Lawn Bowls,Women's Fours,S,Africa,Mixed
James Murphy,South Africa,Rugby Sevens,Men,G,Africa,Mixed
Jc Pretorius,South Africa,Rugby Sevens,Men,G,Africa,Mixed
Johanna Snyman,South Africa,Lawn Bowls and Para Lawn Bowls,Women's Fours,S,Africa,Mixed
Jovan van Vuuren,South Africa,Athletics and Para Athletics,Men's Long Jump,B,Africa,Single
Kaylene Corbett,South Africa,Aquatics - Swimming and Para Swimming,Women's 200m Breaststroke,B,Africa,Single
Lara van Niekerk,South Africa,Aquatics - Swimming and Para Swimming,Women's 100m Breaststroke,G,Africa,Single
Lara van Niekerk,South Africa,Aquatics - Swimming and Para Swimming,Women's 50m Breaststroke,G,Africa,Single
Mfundo Ndhlovu,South Africa,Rugby Sevens,Men,G,Africa,Mixed
Michaela Whitebooi,South Africa,Judo,Women -48 kg,G,Africa,Single
Muller du Plessis,South Africa,Rugby Sevens,Men,G,Africa,Mixed
Ndodomzi Ntutu,South Africa,Athletics and Para Athletics,Men's T11/12 100m,G,Africa,Single
Nicolaas de Lange,South Africa,Wrestling,Men's Freestyle 97 kg,S,Africa,Single
Phiwokuhle Sbusisiwe Mnguni,South Africa,Boxing,Women’s Over 54kg-57kg (Featherweight),B,Africa,Single
Pieter Coetze,South Africa,Aquatics - Swimming and Para Swimming,Men's 100m Backstroke,G,Africa,Single
Pieter Coetze,South Africa,Aquatics - Swimming and Para Swimming,Men's 200m Backstroke,B,Africa,Single
Pieter Coetze,South Africa,Aquatics - Swimming and Para Swimming,Men's 50m Backstroke,S,Africa,Single
Ronald Brown,South Africa,Rugby Sevens,Men,G,Africa,Mixed
Sakoyisa Makata,South Africa,Rugby Sevens,Men,G,Africa,Mixed
Selvyn Davids,South Africa,Rugby Sevens,Men,G,Africa,Mixed
Shaun Williams,South Africa,Rugby Sevens,Men,G,Africa,Mixed
Simnikiwe Bongco,South Africa,Boxing,Men’s Over 71kg-75kg (Middleweight),B,Africa,Single
Siviwe Soyizwapi,South Africa,Rugby Sevens,Men,G,Africa,Mixed
Tatjana Schoenmaker,South Africa,Aquatics - Swimming and Para Swimming,Women's 100m Breaststroke,S,Africa,Single
Tatjana Schoenmaker,South Africa,Aquatics - Swimming and Para Swimming,Women's 200m Breaststroke,G,Africa,Single
Thabelo Muvhango,South Africa,Lawn Bowls and Para Lawn Bowls,Women's Fours,S,Africa,Mixed
Victoria van der Merwe,South Africa,Lawn Bowls and Para Lawn Bowls,Para Women's Pairs B6-B8,B,Africa,Mixed
Zain Davids,South Africa,Rugby Sevens,Men,G,Africa,Mixed
Zeney van der Walt,South Africa,Athletics and Para Athletics,Women's 400m Hurdles,B,Africa,Single
Dilanka Isuru Kumara Yodage,Sri Lanka,Weightlifting,Men's 55kg,B,Asia,Single
Nethmi Poruthotage,Sri Lanka,Wrestling,Women's Freestyle 57 kg,B,Asia,Single
Palitha Halgahawela Gedara,Sri Lanka,Athletics and Para Athletics,Men's Discus Throw F42-44/61-64,S,Asia,Single
Yupun Abeykoon,Sri Lanka,Athletics and Para Athletics,Men's 100m,B,Asia,Single
Julien Alfred,St Lucia,Athletics and Para Athletics,Women's 100m,S,Caribbean & Americans,Single
Alphonce Felix Simbu,Tanzania,Athletics and Para Athletics,Men's Marathon,S,Africa,Single
Kassim Mbundwike,Tanzania,Boxing,Men’s Over 67kg-71kg (Light Middleweight),B,Africa,Single
Yusuf Lucasi Changalawe,Tanzania,Boxing,Men’s Over 75kg-80kg (Light Heavyweight),B,Africa,Single
Devynne Charlton,The Bahamas,Athletics and Para Athletics,Women's 100m Hurdles,S,Caribbean & Americans,Single
Laquan Nairn,The Bahamas,Athletics and Para Athletics,Men's Long Jump,G,Caribbean & Americans,Single
Faye Njie,The Gambia,Judo,Men -73 kg,S,Africa,Single
Akanni Hislop,Trinidad & Tobago,Athletics and Para Athletics,Men's 4 x 100m Relay,S,Caribbean & Americans,Mixed
Asa Guevara,Trinidad & Tobago,Athletics and Para Athletics,Men's 4 x 400m Relay,G,Caribbean & Americans,Mixed
Che Lara,Trinidad & Tobago,Athletics and Para Athletics,Men's 4 x 400m Relay,G,Caribbean & Americans,Mixed
Dwight St. Hillaire,Trinidad & Tobago,Athletics and Para Athletics,Men's 4 x 400m Relay,G,Caribbean & Americans,Mixed
Eric Harrison Jr,Trinidad & Tobago,Athletics and Para Athletics,Men's 4 x 100m Relay,S,Caribbean & Americans,Mixed
Jereem Richards,Trinidad & Tobago,Athletics and Para Athletics,Men's 4 x 400m Relay,G,Caribbean & Americans,Mixed
Jereem Richards,Trinidad & Tobago,Athletics and Para Athletics,Men's 200m,G,Caribbean & Americans,Single
Jerod Elcock,Trinidad & Tobago,Athletics and Para Athletics,Men's 4 x 100m Relay,S,Caribbean & Americans,Mixed
Kashief King,Trinidad & Tobago,Athletics and Para Athletics,Men's 4 x 400m Relay,G,Caribbean & Americans,Mixed
Kion Benjamin,Trinidad & Tobago,Athletics and Para Athletics,Men's 4 x 100m Relay,S,Caribbean & Americans,Mixed
Kyle Greaux,Trinidad & Tobago,Athletics and Para Athletics,Men's 4 x 100m Relay,S,Caribbean & Americans,Mixed
Machel Cedenio,Trinidad & Tobago,Athletics and Para Athletics,Men's 4 x 400m Relay,G,Caribbean & Americans,Mixed
Nicholas Paul,Trinidad & Tobago,Cycling - Track and Para Track,Men's 1000m Time Trial,B,Caribbean & Americans,Single
Nicholas Paul,Trinidad & Tobago,Cycling - Track and Para Track,Men's Keirin,G,Caribbean & Americans,Single
Nicholas Paul,Trinidad & Tobago,Cycling - Track and Para Track,Men's Sprint,S,Caribbean & Americans,Single
Jacob Kiplimo,Uganda,Athletics and Para Athletics,"Men's 10,000m",G,Africa,Single
Jacob Kiplimo,Uganda,Athletics and Para Athletics,Men's 5000m,G,Africa,Single
Peruth Chemutai,Uganda,Athletics and Para Athletics,Women's 3000m Steeplechase,B,Africa,Single
Teddy Nakimuli,Uganda,Boxing,Women’s Over 48kg-50kg (Light Flyweight),B,Africa,Single
Victor Kiplangat,Uganda,Athletics and Para Athletics,Men's Marathon,G,Africa,Single
Miller Pata,Vanuatu,Beach Volleyball,Women,B,Australia& Oceania,Mixed
Sherysyn Toko,Vanuatu,Beach Volleyball,Women,B,Australia& Oceania,Mixed
Aled Davies,Wales,Athletics and Para Athletics,Men's Discus Throw F42-44/61-64,G,Europe,Single
Anna Hursey,Wales,Table Tennis and Para Table Tennis,Women's Doubles,B,Europe,Mixed
Charlotte Carey,Wales,Table Tennis and Para Table Tennis,Women's Doubles,B,Europe,Mixed
Daniel Salmon,Wales,Lawn Bowls and Para Lawn Bowls,Men's Pairs,G,Europe,Mixed
Dominic Coy,Wales,Triathlon and Para Triathlon,Mixed Team Relay,S,Europe,Mixed
Eluned King,Wales,Cycling - Track and Para Track,Women's 25km Points Race,B,Europe,Single
Emma Finucane,Wales,Cycling - Track and Para Track,Women's Team Sprint,B,Europe,Mixed
Emma Finucane,Wales,Cycling - Track and Para Track,Women's Sprint,B,Europe,Single
Garan Croft,Wales,Boxing,Men’s Over 67kg-71kg (Light Middleweight),B,Europe,Single
Gemma Natasha Frizelle,Wales,Gymnastics - Rhythmic,Hoop,G,Europe,Single
Geraint Thomas,Wales,Cycling - Road,Men's Individual Time Trial,B,Europe,Single
Gordon Llewellyn,Wales,Lawn Bowls and Para Lawn Bowls,Para Mixed Pairs B2/B3,S,Europe,Mixed
Harrison Walsh,Wales,Athletics and Para Athletics,Men's Discus Throw F42-44/61-64,B,Europe,Single
Iestyn Harrett,Wales,Triathlon and Para Triathlon,Mixed Team Relay,S,Europe,Mixed
Ioan Croft,Wales,Boxing,Men’s Over 63.5kg-67kg (Welterweight),G,Europe,Single
Jake Dodd,Wales,Boxing,Men’s Over 48kg-51kg (Flyweight),B,Europe,Single
James Ball,Wales,Cycling - Track and Para Track,Men's Tandem B - 1000m Time Trial,S,Europe,Mixed
James Ball,Wales,Cycling - Track and Para Track,Men's Tandem B - Sprint,G,Europe,Mixed
Jarrad Breen,Wales,Lawn Bowls and Para Lawn Bowls,Men's Pairs,G,Europe,Mixed
Jasmine Hacker-Jones,Wales,Judo,Women -63 kg,B,Europe,Single
Joel Makin,Wales,Squash,Men's Singles,S,Europe,Single
John Wilson,Wales,Lawn Bowls and Para Lawn Bowls,Para Mixed Pairs B2/B3,S,Europe,Mixed
Jonathan Tomlinson,Wales,Lawn Bowls and Para Lawn Bowls,Men's Triples,B,Europe,Mixed
Joshua Stacey,Wales,Table Tennis and Para Table Tennis,Men's Singles Classes 8-10,G,Europe,Single
Julie Thomas,Wales,Lawn Bowls and Para Lawn Bowls,Para Mixed Pairs B2/B3,S,Europe,Mixed
Lily Rice,Wales,Aquatics - Swimming and Para Swimming,Women's 100m Backstroke S8,B,Europe,Single
Lowri Thomas,Wales,Cycling - Track and Para Track,Women's Team Sprint,B,Europe,Mixed
Mark Adams,Wales,Lawn Bowls and Para Lawn Bowls,Para Mixed Pairs B2/B3,S,Europe,Mixed
Medi Harris,Wales,Aquatics - Swimming and Para Swimming,Women's 100m Backstroke,B,Europe,Single
Natalie Powell,Wales,Judo,Women -78 kg,S,Europe,Single
Non Stanford,Wales,Triathlon and Para Triathlon,Mixed Team Relay,S,Europe,Mixed
Olivia Breen,Wales,Athletics and Para Athletics,Women's T37/38 100m,G,Europe,Single
Olivia Mathias,Wales,Triathlon and Para Triathlon,Mixed Team Relay,S,Europe,Mixed
Owain Dando,Wales,Lawn Bowls and Para Lawn Bowls,Men's Triples,B,Europe,Mixed
Owain Harris-Allan,Wales,Boxing,Men’s Over 51kg-54kg (Bantamweight),B,Europe,Single
Rhian Edmunds,Wales,Cycling - Track and Para Track,Women's Team Sprint,B,Europe,Mixed
Rosie Eccles,Wales,Boxing,Women’s Over 66kg-70kg (Light Middleweight),G,Europe,Single
Ross Owen,Wales,Lawn Bowls and Para Lawn Bowls,Men's Triples,B,Europe,Mixed
Taylor Bevan,Wales,Boxing,Men’s Over 75kg-80kg (Light Heavyweight),S,Europe,Single
William Roberts,Wales,Cycling - Track and Para Track,Men's 15km Scratch Race,B,Europe,Single
Muzala Samukonga,Zambia,Athletics and Para Athletics,Men's 400m,G,Africa,Single
Patrick Chinyemba,Zambia,Boxing,Men’s Over 48kg-51kg (Flyweight),B,Africa,Single
Stephen Zimba,Zambia,Boxing,Men’s Over 63.5kg-67kg (Welterweight),S,Africa,Single
